City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
274,Itapaci,-14.9508,-49.5494,303.12,50,67,1.96,BR,2022-04-17 15:57:38
275,Saravena,6.9538,-71.8752,295.77,96,100,0.69,CO,2022-04-17 15:57:38
276,Tambun,-6.2641,107.0712,302.61,84,79,2.16,ID,2022-04-17 15:58:39
277,Chokurdakh,70.6333,147.9167,250.42,100,48,2.04,RU,2022-04-17 15:58:39
278,Zenzeli,45.9241,47.0474,288.13,53,23,5.28,RU,2022-04-17 15:58:39
279,Thompson,55.7435,-97.8558,267.24,53,20,0.0,CA,2022-04-17 15:55:10
280,Bowen,-20.0167,148.2333,295.39,81,1,4.39,AU,2022-04-17 15:55:09
281,Te Anau,-45.4167,167.7167,280.25,93,22,0.95,NZ,2022-04-17 15:58:40
282,Laguna,38.421,-121.4238,288.2,77,0,4.12,US,2022-04-17 15:58:40
283,Hauterive,46.0901,3.4459,292.57,40,3,3.69,FR,2022-04-17 15:58:41
284,Coromandel,-18.4733,-47.2003,299.43,45,36,2.74,BR,2022-04-17 15:58:41
285,Komsomolskiy,40.4272,71.7189,295.55,24,42,2.06,UZ,2022-04-17 15:58:41
286,Naze,28.3667,129.4833,290.66,62,82,2.82,JP,2022-04-17 15:58:42
287,Tabou,4.423,-7.3528,298.38,84,100,2.82,CI,2022-04-17 15:58:42
288,Flinders,-34.5833,150.8552,290.47,88,51,3.46,AU,2022-04-17 15:58:42
289,Karasuk,53.7377,78.0403,286.72,51,100,2.15,RU,2022-04-17 15:58:42
290,Mezhdurechensk,53.6942,88.0603,280.2,92,100,1.48,RU,2022-04-17 15:58:43
